gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4723859377	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1695375442	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca		SPECIES	Tringa melanoleuca (J.F.Gmelin, 1789)	Tringa melanoleuca		US	Lopaus Point Road	Maine	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.236423	-68.36057							2023-04-23	23	4	2023	2481720	2481720	HUMAN_OBSERVATION	CLO	EBIRD	OBS1695375442				CC_BY_4_0		obsr1111352			2024-04-17T08:42:00.367Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4723644872	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1839688606	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris alpina		SPECIES	Calidris alpina (Linnaeus, 1758)	Calidris alpina		US	Hadley Point, Bar Harbor	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.444138	-68.31899							2023-10-01	1	10	2023	2481759	2481759	HUMAN_OBSERVATION	CLO	EBIRD	OBS1839688606				CC_BY_4_0		obsr29626			2024-04-17T09:27:26.849Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4723343386	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1840984821	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris alba		SPECIES	Calidris alba (Pallas, 1764)	Calidris alba		US	Hadley Point, Bar Harbor	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.444138	-68.31899							2023-10-02	2	10	2023	2481748	2481748	HUMAN_OBSERVATION	CLO	EBIRD	OBS1840984821				CC_BY_4_0		obsr224998			2024-04-17T09:00:56.074Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4723292153	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1818372054	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris pusilla		SPECIES	Calidris pusilla (Linnaeus, 1766)	Calidris pusilla		US	Little Cranberry Island	Maine	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.26063	-68.22973							2023-09-03	3	9	2023	2481764	2481764	HUMAN_OBSERVATION	CLO	EBIRD	OBS1818372054				CC_BY_4_0		obsr818286			2024-04-17T08:43:05.375Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4723126137	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1836091340	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa solitaria		SPECIES	Tringa solitaria A.Wilson, 1813	Tringa solitaria		US	543 Sargeant Point Rd, Mount Desert US-ME 44.34176, -68.30738	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.341763	-68.30737							2023-09-26	26	9	2023	2481710	2481710	HUMAN_OBSERVATION	CLO	EBIRD	OBS1836091340				CC_BY_4_0		obsr1063131			2024-04-17T10:10:48.634Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4723089497	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1820589455	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Actitis	Actitis macularius		SPECIES	Actitis macularius (Linnaeus, 1766)	Actitis macularius		US	Acadia NP--Eagle Lake	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.376633	-68.25119							2023-09-06	6	9	2023	2481798	2481798	HUMAN_OBSERVATION	CLO	EBIRD	OBS1820589455				CC_BY_4_0		obsr280167			2024-04-17T09:25:51.593Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4722801404	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1839103860	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa flavipes		SPECIES	Tringa flavipes (J.F.Gmelin, 1789)	Tringa flavipes		US	Acadia NP--Seawall Picnic Area	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2373	-68.3025							2023-09-28	28	9	2023	2481721	2481721	HUMAN_OBSERVATION	CLO	EBIRD	OBS1839103860				CC_BY_4_0		obsr2578338			2024-04-17T09:02:10.345Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4722706125	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ME:OBS1828485043	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris minutilla		SPECIES	Calidris minutilla (Vieillot, 1819)	Calidris minutilla		US	Cable Crossing Road, Southwest Harbor	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.25647	-68.294495							2023-09-15	15	9	2023	2481745	2481745	HUMAN_OBSERVATION	CLO	EBIRD_ME	OBS1828485043				CC_BY_4_0		obsr101607			2024-04-17T09:01:25.843Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4722647549	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1837390981	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca		SPECIES	Tringa melanoleuca (J.F.Gmelin, 1789)	Tringa melanoleuca		US	Acadia NP--Ship Harbor Trail	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.231667	-68.325615							2023-09-28	28	9	2023	2481720	2481720	HUMAN_OBSERVATION	CLO	EBIRD	OBS1837390981				CC_BY_4_0		obsr429879			2024-04-17T10:09:15.629Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4722624597	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_ME:OBS1834852842	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris pusilla		SPECIES	Calidris pusilla (Linnaeus, 1766)	Calidris pusilla		US	Hadley Point, Bar Harbor	Maine	PRESENT	8	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.444138	-68.31899							2023-09-24	24	9	2023	2481764	2481764	HUMAN_OBSERVATION	CLO	EBIRD_ME	OBS1834852842				CC_BY_4_0		obsr182390			2024-04-17T08:59:51.782Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
